"ss_presented","inhibited","ssd","rt"
0,-999,-999,513
0,-999,-999,528
0,-999,-999,639
0,-999,-999,665
0,-999,-999,634
0,-999,-999,681
0,-999,-999,648
0,-999,-999,467
0,-999,-999,529
0,-999,-999,513
0,-999,-999,331
0,-999,-999,587
0,-999,-999,746
0,-999,-999,420
0,-999,-999,492
0,-999,-999,458
0,-999,-999,549
0,-999,-999,452
0,-999,-999,621
0,-999,-999,550
0,-999,-999,342
0,-999,-999,511
0,-999,-999,429
0,-999,-999,589
0,-999,-999,391
0,-999,-999,470
0,-999,-999,464
0,-999,-999,592
0,-999,-999,463
0,-999,-999,526
0,-999,-999,471
0,-999,-999,498
0,-999,-999,607
0,-999,-999,415
0,-999,-999,490
0,-999,-999,441
0,-999,-999,504
0,-999,-999,434
0,-999,-999,738
0,-999,-999,512
0,-999,-999,460
0,-999,-999,411
0,-999,-999,698
0,-999,-999,490
0,-999,-999,483
0,-999,-999,497
0,-999,-999,347
0,-999,-999,533
0,-999,-999,611
0,-999,-999,590
0,-999,-999,503
0,-999,-999,454
0,-999,-999,566
0,-999,-999,485
0,-999,-999,350
0,-999,-999,566
0,-999,-999,453
0,-999,-999,624
0,-999,-999,431
0,-999,-999,495
0,-999,-999,398
0,-999,-999,537
0,-999,-999,408
0,-999,-999,536
0,-999,-999,402
0,-999,-999,464
0,-999,-999,506
0,-999,-999,459
0,-999,-999,409
0,-999,-999,564
0,-999,-999,594
0,-999,-999,428
0,-999,-999,363
0,-999,-999,331
0,-999,-999,438
0,-999,-999,398
0,-999,-999,462
0,-999,-999,349
0,-999,-999,492
0,-999,-999,438
0,-999,-999,709
0,-999,-999,484
0,-999,-999,520
0,-999,-999,599
0,-999,-999,470
0,-999,-999,496
0,-999,-999,447
0,-999,-999,553
0,-999,-999,392
0,-999,-999,343
0,-999,-999,465
0,-999,-999,512
0,-999,-999,378
0,-999,-999,536
0,-999,-999,547
0,-999,-999,563
0,-999,-999,578
0,-999,-999,593
0,-999,-999,362
0,-999,-999,313
0,-999,-999,388
0,-999,-999,467
0,-999,-999,653
0,-999,-999,444
0,-999,-999,507
0,-999,-999,645
0,-999,-999,532
0,-999,-999,479
0,-999,-999,526
0,-999,-999,461
0,-999,-999,358
0,-999,-999,516
0,-999,-999,463
0,-999,-999,542
0,-999,-999,589
0,-999,-999,518
0,-999,-999,422
0,-999,-999,655
